name,line1,city,zip,country,regon,pesel,nip,nip_czysty,invoice_currency,freight_currency,payment_term,phone1,phone2,fax,"email",www,invoice_language
"FIRMA UK","Oxford 555",Londyn,888-888,GB,NULL,NULL,3333333333,3333333333,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"MONIKA TABOR","jedrzychowska 28","Zielona Góra",65-385,PL,,,,,PLN,EUR,14,,,,,,PL
"Transport Bazylewicz S.J. Alicja Stobiecka, Sylwia Kozakiewicz","Lotnicza 8A",Przylep,66-015,PL,,,9730917218,9730917218,EUR,EUR,60,,,,,,PL
"MONIKA PAWŁOWSKA","ul. Jędrzychowska 28","Zielona Góra",65-385,PL,80151314,,9261329560,9261329560,PLN,EUR,14,"+48 68 4145289,",48509309280,"+48 684145587",monika@mtransport.pl,www.mtransport.pl,PL
"KUHNL POLSKA SP.ZO.O","DWORCOWA 4",ZŁOTORYJA,59-500,PL,,,692-238-27-11,6922382711,PLN,EUR,30,,721155072,768780029,,,PL
GARTNER,"OTTO HAHN STRASSE 12",KEHL-AUENHEIM,77694,DE,,,814190846,814190846,EUR,EUR,45,4978518862336,,,,,DE
"P.H.U ŁAWICA","KOSCIELNIAKA 13a",USTKA,76-270,PL,771511338,,8391702258,8391702258,EUR,EUR,45,598152202,728338330,598152203,joanna@lawica.info,,PL
"S.F.T GONDRAND FRERES","4 rue du general leclerc",GOLBEY,88190,FR,,,91602002461,91602002461,EUR,EUR,30,33329316968,,33329316970,,,FR
"TRANS LOGISTYKA OLGA JUCHNIEWICZ SPOLKA KOMANDYTOWA","os.przemyslowe 28",SLUBICE,69-100,PL,80030036,,5981561722,5981561722,EUR,EUR,45,,663788632,,,,PL
"FUH PIOTR BOBEL","parkowa 6",Strzegom,58-150,PL,,,8841902805,8841902805,PLN,EUR,14,691308062,,,,,PL
BAI-Log,"Olszyna 70",Ostrzeszow,63-200,PL,250948998,,6220104348,6220104348,EUR,EUR,45,627303719,601561375,627301685,,bozena@iwanski.pl,PL
"MERKURY TRANSPORT KAROL PLUCINSKI","koscielna10   lok 10",GRYFINO,74-100,PL,320453797,,8522479649,8522479649,EUR,EUR,45,914241900,668377729,,,,PL
"KAIZEN POLSKA SP Z.O.O","ARMII KRAJOWEJ 37A",MIASTKO,77-200,PL,771514532,,8421604478,8421604478,EUR,EUR,45,,601894430,598570466,,,PL
"EUROPOL krzysztof rozanski SPOLKA JAWNA","zygmunta modzelewskiego 96 lokal 17",WARSZAWA,02-679,PL,140480566,,5213380561,5213380561,EUR,EUR,45,,501283909,228490333,,,PL
"FM POLSKA SP Z.O.O","lugowa 30",MSZCZONOW,96-320,PL,10725511,,8381000827,8381000827,EUR,EUR,45,,516010165,468570045,,,PL
"KB SPED BARTOSZ KRZYZAN","konopnickiej 3 lokal 2",WOLSZTYN,64-200,PL,301181951,,9231585962,9231585962,EUR,EUR,45,,511775277,683472357,,,PL
"ELKOR LESZEK KORCZ","lipowa 28",KLESZCZEWO,63-005,PL,632197861,,7860006690,7860006690,EUR,EUR,45,,618176070,618176070,,,PL
"MONIKA PAWŁOWSKA","Jędrzychowska 28","Zielona Góra",65-383,PL,,,9261329560,9261329560,PLN,EUR,14,,,,,,PL
"EURO-PACZKA MARIUSZ MAIK","STEFANA BATOREGO 48/408",CHORZÓW,41-506,PL,,,6272301807,6272301807,PLN,EUR,14,,,,monika@mtransport.pl,,PL
"WIGOR-TRANS SP Z.O.O","warszawska 239","MINSK MAZOWIECKI",05-300,PL,710505437,,8222045906,8222045906,EUR,EUR,45,,609503633,226213678,,,PL
"TRANSCOM logistics b.v","P.O  box 18026","ZA BERGEN OP ZOOM",4601,NL,,,809926106B01,809926106B01,PLN,EUR,21,31164273566,,31164210005,,,DE
"SPEEDCAR-WULKANIZACJA S.C MAŁGORZATA I PIOTR FEDRO","KU SŁOŃCU 4",RACULA,66-004,PL,,,9730889864,9730889864,PLN,EUR,14,,,,,,PL
"WITOLD SIEKIERSKI USLUGI TRANSPORTOWE","kozlow szlachecki 14","NOWA SUCHA",96-513,PL,750045720,,8371215489,8371215489,EUR,EUR,45,,602739539,468639879,,,PL
"H J s.c UT DOMINIK HORNIK SZYMON JAWORSKI","KOSMONAUTÓW 318/4",WROCŁAW,54-042,PL,,,8942973244,8942973244,PLN,EUR,14,793484107,,,,,PL
"CHENCZKE LOGISTIC","SKRAJNIA 25",BLIZANOW,62-814,PL,300494613,,9680896660,9680896660,EUR,EUR,45,625983022,691336880,625997063,,,PL
"A.S HANDEL STEFAN AUST","HESSLACH 13",WEIDENBERG,95-466,DE,,,185318093,185318093,PLN,EUR,14,,,,,,PL
"TRANSPORT KRAJOWY I ZAGRANICZNY KRZYSZTOF SZEWCZYK","CIERNIE 110",SWIEBODZICE,58-160,PL,,,8842253964,8842253964,PLN,EUR,14,,,,,,PL
"WRONKOWSKI MANAGEMENT ADRIAN WRONKOWSKI","PARKOWA 16",KOBIERZYCE,55-040,PL,,,8971209617,8971209617,PLN,EUR,14,,,,,,PL
"DUSOLIER CHOLET","PARC D ACTIVITE DU CORMIER,4 SQUARE JEAN BERTIN,BP10716",CHOLET,49300,FR,,,60054200415,60054200415,EUR,EUR,30,33241753637,,33241753625,,,FR
"SANDERN LUKASZ PIASECKI","GENERALA SWIERCZEWSKIEGO 65/1",SWIEBODZIN,66-200,PL,80323991,,9271776208,9271776208,EUR,EUR,60,,504474496,,piusek81@wp.pl,,PL
"DHL SERVICE ADMINISTRATIF FREIGHT FRANCE (SAFF)","19 BLD DU COURCERIN - ZI PARIEST LOGNES BP63","MARNE LA VALLEE CEDEX",77312,FR,,,38488985771,38488985771,EUR,EUR,30,33247326698,,33247324711,,,FR
"DRIED FLOWERS TADEUSZ KRAWCZYNSKI","KOZUCHOWSKA 63","BYTOM ODRZANSKI",67-115,PL,970692745,,9251559488,9251559488,EUR,EUR,45,,601819242,684141580,,,PL
"TRANSPORT ARCHEREAU","9 RUE DE LA HAIE ARRET",PRIX-LES-MEZIERES,8000,FR,,,52303709406,52303709406,EUR,EUR,30,33324571920,,33324576154,,,FR
"AGENCE RAPID TRANSPORTS","109 RUE FRANCOIS COLI",MAUGUIO,34130,FR,,,50443939848,50443939848,EUR,EUR,30,33467994890,,33467994899,,,FR
"INTERABRA LOGISTICS","OMLOTOWA 12/14",LODZ,94-251,PL,470071763,,7270125011,7270125011,EUR,EUR,45,,502487266,426595174,,,PL
"STEF-TFE SERVICES,POLE de  PARIS","95 BOULEVARD MALESHERBES","PARIS CEDEX 08",75370,FR,,,39440270981,39440270981,EUR,EUR,30,33149752028,,33149754371,,,FR
"WALDEMAR SP Z.O.O","UL MICKIEWICZA",RZEPIN,69-110,PL,210257950,,5981004217,5981004217,EUR,EUR,45,957596621,,957596268,,,PL
"STEPIEN  ROBERT STEPIEN","DABROWKA WARSZAWSKA 78",WIERZBICA,26-680,PL,670542541,,7990004436,7990004436,EUR,EUR,45,483342278,,483342292,,,PL
"INTERTRANS SP Z.O.O","UL GORKIEGO 89/59",LODZ,92-517,PL,472034915,,7282204176,7282204176,EUR,EUR,45,,512251307,426175392,,,PL
"HENRY JOHNSON SONS&CO LTD","ZONE INDUSTRIELLE SUD,SECTEUR NUMERO 4,HLD J.MONNET","COMBS LA VILLE",77382,FR,,,57775749658,57775749658,EUR,EUR,30,33164132342,,33160343576,,,FR
"BIS-TRANS MALGORZATA WIECH","RAJDOWA 10  LOK 140",LODZ,94-003,PL,15655554,,7271813256,7271813256,EUR,EUR,45,,669890980,227281901,,,PL
"GLOMM SPEDITION GMBH","GUTENBERGRING 22",NORDERSTEDT,22848,DE,,,811266600,811266600,PLN,EUR,14,,,,,,PL
"GLADEKO EWA GŁADYSZ","BRZOZOWA 1 D",ROGOZNIK,42-582,PL,,,6491030521,6491030521,PLN,EUR,14,,,,,,PL
"HINDELANG SPEDITION GMBH","BASTENAUER STRASE 11",WORNITZ,91637,DE,,,139233160,139233160,EUR,EUR,30,499868770,33390404680,499868772790,,,DE
"RYŚ POL RYSZARD WINIARSKI","KOZIELSKA 109/22",GLIWICE,44-100,PL,,,631-139-80-83,6311398083,PLN,EUR,14,,,,,,PL
"GEOMAR FW USŁUGI GEODEZYJNE MARIUSZ RUTKOWSKI","KSIĄŻĄT MAZOWIECKICH 9",BOBROWNIKI,87-617,PL,,,8931155134,8931155134,PLN,EUR,14,,,,,,PL
"BETI-TRANS BEATA ROSIAK","FELIKSA KOZUBOWSKIEGO 3",SOCHACZEW,96-500,PL,15177340,,8371219671,8371219671,EUR,EUR,45,,600347028,468619277,,,PL
"ALLE ZIELE INTERNATIONALE SPEDITION GMBH","PANKSTR. 8-10",BERLIN,13127,DE,,,813869926,813869926,EUR,EUR,45,,,,info@alle-ziele-spedition.de,,PL
"TRANS PEREŁKA DĄBROWSKA JOLANTA","OLSZTYNOWA 11/1",RADOM,26-600,PL,,,9481337691,9481337691,PLN,EUR,14,483667097,,,,,PL
"USLUGI TRANSPORTOWE WOJCIECH RYBOWIAK","LEGIONOWA 11  LOK 65",BIALYSTOK,15-281,PL,50032389,,5420111890,5420111890,EUR,EUR,45,,505175085,856539740,,,PL
"TRANS-COMPANY SP Z.O.O","HETMANSKA 26",ELBLAG,82-300,PL,280081837,,5782918245,5782918245,EUR,EUR,45,,509094915,556418010,,,PL
"TRANSPORTS MESGUEN","ZONE INDUSTRIELLE DE KERRANOU/  BP57","SAINT POL DE LEON",29250,FR,,,94926450099,94926450099,EUR,EUR,30,33298292464,,33298292437,,,FR
"QUADRANTE SPED VERONA S.R.L","VIA INDENTRO 21",VERONA,37127,IT,,,1853630232,1853630232,PLN,EUR,14,,,,,,PL
"PHU BOBAK-TRANS KULA-BOBAK ALEKSANDRA","BOLESŁAWSKA 113",KOLONIA,32-329,PL,,,6292008795,6292008795,PLN,EUR,14,,,,,,PL
EGETRA,"3 A 5  RUE MARC SEGUIN         BP   50436","GOUSSAINVILLE  CEDEX",95194,FR,,,20552140816,20552140816,EUR,EUR,30,33139947777,,33139947786,fprein@egetra.com,,FR
"JOZEF SUT","DWORSKA 66",CZASTARY,98-410,PL,3340392,,9542658841,9542658841,EUR,EUR,45,,512116688,627844312,,,PL
"ROUSSILLONNAISE DE TRANSPORT s.a.r.l","255 AVENUE GEORGES CAUSTIER",PERPIGNAN,66000,FR,,,17390427847,17390427847,EUR,EUR,45,33468853534,,33468854131,artur@mtransport.pl,,FR
"PAR-POL PAWEL SUT","WOLNOSCI 50",CZASTARY,98-410,PL,731001887,,9970022478,9970022478,EUR,EUR,45,,512116688,627844312,,,PL
"p.h.u KIPS STANISLAW BOREK","UL  1 ARMII WOJSKA POLSKIEGO 105",WYSZKOW,07-200,PL,550058976,,7621566517,7621566517,EUR,EUR,45,297430866,,297410813,,,PL
"LES ROUTIERS DE L EST",BP140,"OBERNAI CEDEX",67214,FR,,,15675480453,15675480453,EUR,EUR,30,"(+33) 3 88 50 90 40",,"(+33) 3 88 50 99 55",,,FR
"TRANSPORTS DENOUAL","BP 7",ELVEN,56250,FR,,,10313966269,10313966269,EUR,EUR,60,33380468999,,33380468990,,,FR
"VIRNIK SLAWOMIR JAREK","KUPALY 10",KOBIERZYCE,55-040,PL,930987791,,8971153124,8971153124,EUR,EUR,45,713111786,,713111786,,,PL
"ITV FILLY GMBH","RATHAUSSTRASSE 75/79",VOLKLINGEN,66333,DE,,,811152493,811152493,EUR,EUR,45,496898932340,,496898932380,,,PL
"STG & NAGEL LOGISTIQUE","ZONE ARTISANALE LES BOTIAUX",LIBERCOURT,62820,FR,,,61418574869,61418574869,EUR,EUR,30,33321377676,,33321377677,,,FR
"STEF-TFE SERVICES POLE EST","BP 60039","MOULINS LES METZ",57160,FR,,,91431761253,91431761253,EUR,EUR,30,33388675933,,33387169675,,,FR
"MERRET 29","ZONE ARTISANALE DU GRAND LAUNAY      BP97469","MORLAIX CEDEX",29674,FR,,,33925550048,33925550048,EUR,EUR,30,33298627822,,33298880814,,,FR
"GIRAUD NORD","ZONE ARTISANALE DE TEMPLEMARS",TEMPLEMARS,59175,FR,,,59384822037,59384822037,EUR,EUR,30,33680893333,,33326835444,,,FR
"JAROSLAW PAWLOWSKI","PROMIENISTA 20",POZNAN,60-288,PL,631506350,,7790025936,7790025936,EUR,EUR,45,618620914,,618620913,,,PL
"HEXAFROID  NORD","RUE GUTEMBERG, ZONE INDUSTRIELLE DES ALOUETTES",LIEVIN,62804,FR,,,92450218672,92450218672,EUR,EUR,30,33321449999,,33321449984,,,FR
"SOLEKS ZENON BOLESLAW DOLEGA","WOJNOW 103",MORDY,08-140,PL,711626309,,8211543836,8211543836,EUR,EUR,45,256415740,,256415428,,,PL
"PARTNER TRANS s.c WIOLETTA BEDNAROWICZ JOLANTA ZIELIŃSKA","CHOPINA 7","ZIELONA GÓRA",65-031,PL,,,9730920433,9730920433,PLN,EUR,14,,,,,,PL
"FHU MICHAŁ KOZBER","KONIN 2A/7",LWÓWEK,64-310,PL,,,7881290957,7881290957,PLN,EUR,14,,,614414772,,,PL
"GOMET S.C.GOMET S.C.","ZATORZE 20","Stary Kisielin",66-002,PL,,,9291007915,9291007915,PLN,EUR,14,,,,,,PL
"RAPID MAREK BUCZYNSKI","WYSZOGRODZKA 44",MLODZIESZYN,96-512,PL,750408269,,8370009724,8370009724,EUR,EUR,45,,668667711,468616631,,,PL
"PAGANINI TRANSPORT SPEDYCJA LOGISTYKA SP Z.O.O","KAZIMIERZA WYKI 12",KRZESZOWICE,32-065,PL,121005558,,5130193419,5130193419,EUR,EUR,45,122581156,694427470,123973272,,,PL
LEIBLE-SEIFRIED,"OTTO HAHN STRASSE 12",KEHL,77694,DE,,,143583781,143583781,EUR,EUR,45,,,,,,DE
"TFE LANGRES STEF-TFE SERVICES POLE EST",BP60039,"MOULINS- LES -METZ",57160,FR,,,36311676431,36311676431,EUR,EUR,30,33325874712,,33325875877,,,FR
"KRZYSZTOF KOSNIK","WIDNICHOWSKA 1A  LOK 23","OSTROW MAZOWIECZKA",07-300,PL,4588830,,7590003611,7590003611,EUR,EUR,45,,604405241,297454111,,,PL
"TFE EUROFRISCHFRACHT","35 RUE DE CALAIS",STRASBOURG,67100,FR,,,421120462,421120462,EUR,EUR,30,33388244020,,33388244030,,,FR
"CALBERSON ROUEN","RUE DE L ETANG DELPECH,ZONE INDUSTRIELLE EST,BP 443  CEDEX","SAINT ETIENNE DU ROUVRAY",76800,FR,,,79393123724,79393123724,EUR,EUR,30,33232959406,,33232958809,,,PL
"JAROSŁAW WOJNICZ ""Bingo"" Transport, Spedycja","FELIKSA STAMMA 12",OCHLA,66-006,PL,,,9291446980,9291446980,EUR,EUR,45,,691254000,683265839,transport.bingo@o2.pl,,PL
"ZIEGLER S.A.","RUE MITOYENNE 897",WELKENRAEDT,4840,BE,,,403480507,403480507,EUR,EUR,14,,,,"invoices_139@zieglergroup.com, micheline_kirsch@zieglergroup.com",,PL
"TRADE-TRANS SP Z.O.O","LESZNO 12",WARSZAWA,01-192,PL,6213487,,5220103934,5220103934,EUR,EUR,45,225340497,,225340490,,,PL
"W.I.J  WYKOWSKI sp z.o.o","SZOSA ZAMBROWSKA  122A",LOMZA,18-400,PL,450166663,,7181446191,7181446191,EUR,EUR,45,482190448,,,,,PL
ALTRANS,"niezywiec 73/2",NIEZYWIEC,87-326,PL,871539859,,8741450226,8741450226,EUR,EUR,45,,,583418583,,,PL
FRIGOSPED,"OSTSTRASSE 6",KEHL,77694,DE,,,118551726,118551726,EUR,EUR,45,49785194730,,497851947373,,,DE
"STG&NAGEL RUNGIS","MIN RUNGIS,12 RUE DU POITOU,BATIMENT D7 PLA 425","RUNGIS CEDEX",94619,FR,,,61418574869,61418574869,EUR,EUR,30,"0033 1.41.80.12.52",,"0033 1.46.87.03.75",,,FR
"H.M LOGISTIQUE","7 RUE DOUTRELEAU","SAINT MALO",35400,FR,,,8401478763,8401478763,EUR,EUR,30,33299820418,,33299820894,,,FR
"FERNAND PAUGAM s.a.r.l","25 ROUTE DU BOURG","SAINTE GENEVIEVE",50760,FR,,,55331831453,55331831453,EUR,EUR,30,33233924401,,33233542814,,,PL
"RAINER BARTSCH GMBH","Postfach 3220",HERZOGENRATH,52134,DE,,,121735882,121735882,EUR,EUR,45,49240718011,,49240759551,,,PL
"RHENUS HELLMANN GMBH CO.KG","Am Steinberg 14",GROSSCHIRMA,9603,DE,,,141136975,141136975,EUR,EUR,14,,,,e-invoice@rhenus-hellmann.de,,PL
"ŁAZY KAZIMIERZ WAWRZYNIAK","SIKORSKIEGO 24",DZIALOSZYN,98-355,PL,730145360,,8320000690,8320000690,EUR,EUR,45,,602328149,438418440,,,PL
"GOSSELIN S.A","LE BOURG","SAINTE GENEVIEVE",50760,FR,,,13325665149,13325665149,EUR,EUR,30,33233924401,,33233542814,,,FR
"Tracz Centrum Ogrodnicze Andrzej Tracz","Przedwiośnie 29",Łódź,91-490,PL,,,7261399938,7261399938,PLN,EUR,14,,,,,,PL
"TFE CHAULNES","41 RUE CHARLES TELLIER","CARVIN CEDEX",62211,FR,,,80490675428,80490675428,EUR,EUR,30,33322835540,,33322839572,,,FR
TRANSFRET,"ZAC DU PARC DE HAYE","VELAINE EN HAYE",54840,FR,,,27447857541,27447857541,EUR,EUR,30,33383234228,,33383234233,,,FR
"BRAM VAN TUYL","ridderstraat 9",GAMEREN,5311,NL,,,801757241B01,801757241B01,EUR,EUR,30,31418573660,,31418562106,,,DE
"SATAR EXPORT","ZONE INDUSTRIELLE SAINT MICHEL",MOISSAC,82200,FR,,,60026320093,60026320093,EUR,EUR,45,33563050891,,33563042943,,,FR
"LOGFLEX GmbH INTERNATIONALE SPEDITION &  LOGISTIK","WERNER-HEISENBERG STRASSE 1",KASSEL,34123,DE,,,252201567,252201567,EUR,EUR,14,,,,buchhaltung@logflex.de,,PL
"HUETTER SPEDITION + LOGISTIK GMBH","ZEILBAUMWEG 29",OEHRINGEN,74613,DE,,,189752177,189752177,EUR,EUR,14,,,,cornelia.trautwein@huetter-spedition.de,,PL
",,RAFI,, RAFAŁ FRAS","JEDNOŚCI 74/2","ZIELONA GÓRA",65-018,PL,,,9291322769,9291322769,PLN,EUR,14,601587690,,,ra.fi@op.pl,,PL
"EBNER TRANSPORTE","BLUMENSTRASSE 7",ALBSTADT,72459,DE,,,144814422,144814422,EUR,EUR,30,49743212765,,4974327947,,,DE
"CAR-FROST mieczyslaw HAFTANIUK",1952/08/15,SOCHACZEW,96-500,PL,750327772,,8370008995,8370008995,EUR,EUR,45,,660718116,468631463,,,PL
"TFE LE MANS","RUE JACQUES CARTIER BP163","VANNES CEDEX",56005,FR,,,56324180546,56324180546,EUR,EUR,30,33243612233,,33243612240,,,FR
LADOUX,"20 AVENUE DU GARRIC,PARC D ACTIVITES DE TRONQUIERES",AURILLAC,15013,FR,,,22487731200,22487731200,EUR,EUR,30,33471481340,,33471483537,,,FR
"PENSJONAT PIOTRAWIN HUBERT NIEDZIAŁEK","PIOTRAWIN 95",LAZISKA,23-335,PL,,,717-18-09-433,7171809433,PLN,EUR,14,,,,,,PL
"EXFRET 44 TRP BARRE","ROUTE D ANCENIS,CI LES DORICES",VALLET,44330,FR,,,11447857665,11447857665,EUR,EUR,30,33240801809,,33240801820,,,FR
"LADOUX CLERMONT","ZONE INDUSTRIELLE DE COURNON D AUVERGNE,8 RUE DU PERIGNAT","COURNON D AUVERGNE",63800,FR,,,22487731200,22487731200,EUR,EUR,30,33473775555,,33473775569,,,FR
"LA TERRE SP Z.O.O","WYSOKA 9",LODZ,90-023,PL,470547929,,7280132811,7280132811,EUR,EUR,45,,601651072,422093322,,,PL
"WINCANTON GMBH NIEDERLASUNG HAMBURG","DRADENAUER DEICHWEG 5",HAMBURG,21129,DE,,,143834452,143834452,EUR,EUR,14,,,,,,PL
"J.MIDDELKOOP B.V","BOEKWEITSTRAAT 98, POSTBUS 71","AB NIEUW VENNEP",2150,NL,,,003233236B01,003233236B01,PLN,EUR,14,,,,,,PL
"EBREX NIORT","SERVICE COMPTABILITE FOURNISSEUR,32 RUE DE L INGENIEUR VERRIERE",LORIENT,56100,FR,,,84497928572,84497928572,EUR,EUR,30,33549259000,,33549259001,,,FR
"TOMASZ SZTORC",1932/07/22,ABRAMOW,21-143,PL,432274421,,7141694037,7141694037,EUR,EUR,45,,793303209,48814709356,,,PL
"OCEAN ROADS GMBH Logistics & Services","BILLWERDER RING 19",HAMBURG,21035,DE,,,260243115,260243115,EUR,EUR,45,,,,,,PL
"TRANSPORTS U.R.P.R","BP5441 ZONE SAINT CHARLES","PERPIGNAN CEDEX",66034,FR,,,4724200316,4724200316,EUR,EUR,30,33468685353,,33468544554,,,FR
"TFE AGEN/STEF SERVICES POLE SUD OUEST","BP 06100","BEGLES CEDEX",33323,FR,,,2242446217448,2242446217448,EUR,EUR,30,33553964705,,33553960604,,,FR
"RHENUS Freight Logistics GmbH & Co. KG","HAMBURGERSTRASSE  17","DUISBURG - RHEINHAUSEN",47229,DE,,,124898841,124898841,EUR,EUR,45,,,,christian.forst@de.rhenus.com,,PL
"BASIC LOGISTICS BV","CEINTUURBAAN 15",ZWOLLE,8022,NL,,,811541708B01,81154170801,PLN,EUR,14,,,,info@basic-logistics.nl,,PL
"SCHENKER DEUTSCHLAND AG","SAALESTRASSE 35A",MAGDEBURG,39126,DE,,,811228366,811228366,EUR,EUR,14,,,,magdeburg.ausgang-produktion@dbschenker.com,,PL
"TFE VIRE /STEF TFE SERVICES POLE OUEST",BP90521,"VANNES CEDEX",56017,FR,,,76410255087,76410255087,EUR,EUR,30,33231674200,,33231670593,,,FR
"TFE BRIVES CHEZ STEF-TFE SERVICES POLE SUD OUEST",BP06100,"BEGLES CEDEX",33323,FR,,,85410254411,85410254411,EUR,EUR,30,33555863506,,33555868987,,,FR
"EMONS SPEDITION GMBH","AM WEIDENDAMM 6","GROSS KIENITZ",15831,DE,,,123053215,123053215,EUR,EUR,14,,,,,,PL
"JANEX JANUSZ ZDZIESZYNSKI",PIEKARSKA,MSZCZONOW,96-320,PL,750408855,,8381010889,8381010889,EUR,EUR,45,,605887758,468571757,,,PL
OSTA,"27 rue JEAN DUPAS",FLOIRAC,33270,FR,,,6510451149,6510451149,EUR,EUR,30,33556860894,,33556863061,,,FR
"PAULA TRANS sp z.o.o","BRACI STANIUKOW 18",SLUPSK,76-200,PL,770928071,,8392468540,8392468540,EUR,EUR,45,,516093623,598455405,,,PL
"HELLMANN WORLDWIDE LOGISTICS GmbH & Co.KG","Elbestrasse 1",OSNABRUCK,49090,DE,,,117659402,117659402,EUR,EUR,45,,,,"admin-osnabrueck@de.hellmann.net; LDeppner@de.hellmann.net",,PL
"WILLY BETZ internationale spedition","34 RUE JACQUES ANQUETIL",QUIMPER,29000,FR,,,31947251922,31947251922,EUR,EUR,30,33298642960,,,,,FR
"TFE NANTES CHEZ STEF TFE SERVICES POLE OUEST",BP164,"VANNES CEDEX",56005,FR,,,48355500356,48355500356,EUR,EUR,30,"+33 2 40 09 48 91",,"+33 2 40 09 48 90",,,FR
"PKM BYTOM SP Z.O.O","WITCZAKA 135",BYTOM,41-902,PL,,,6411007018,6411007018,EUR,EUR,45,322825141,,322825141,,,PL
"CMOL-FRUT STEFAN WRZASK","CMOLAS 360 A",CMOLAS,36-105,PL,5150187,,8140000346,8140000346,EUR,EUR,45,,694930488,172837774,,,PL
HEPPNER,"ZONE INDUSTRIELLE BORDEAUX FRET","BRUGES CEDEX",33521,FR,,,77769800202,77769800202,EUR,EUR,30,33556434020,,33556438208,,,FR
"PRZEDSIĘBIORSTWO USŁUGOWO HANDLOWE MIROSŁAW GAŁĘZOWSKI","Górna 12",KARGOWA,66-120,PL,,,9231389712,9231389712,EUR,EUR,60,,,,justag1@poczta.onet.pl,,PL
"DHL FREIGHT GMBH","BREMER RING 13",WUSTERMARK,14641,DE,,,811152493,811152493,EUR,EUR,45,,,,,,PL
"WOEHL & CIE TPT INTERNATIONAUX","ROUTE DE SCWEIGEN BP 10025",WISSEMBOURG,67160,FR,,,37558501144,37558501144,EUR,EUR,45,,,,,,PL
"FRIKUS GmbH","spannstifstr 16",Hagen,58119,DE,,,255755289,255755289,EUR,EUR,45,,,,,,PL
"KONATRA SARL","route du vin 39","SCHENGEN / LUXEMBOURG",L-5445,LU,,,18853028,18853028,EUR,EUR,60,,,,,,PL
"AREX MALGORZATA JOANNA BOGACZ","CHARSZNICA 142",CHARSZNICA,32-250,PL,120308311,,6591370469,6591370469,EUR,EUR,45,,502549704,413832201,,,PL
"TRANSCOSATAL ATLANTIQUE","M.I.N NANTES,58 BOULEVARD GUSTAVE ROCH","NANTES CEDEX 2",44261,FR,,,13418816286,13418816286,EUR,EUR,30,33240206868,,33251723645,,,PL
"MARK-TRANS SPED marek jakubowski","LUBIEN 32",LECZYCA,99-100,PL,610191580,,7750013890,7750013890,EUR,EUR,45,247218254,,247218254,,,PL
"TRADIMAR METZ ,CHEZ STEF-TFE SERVICES POLE EST",BP60039,MOULINS-LES-METZ,57160,FR,,,85505367276,85505367276,EUR,EUR,30,,,,,,FR
"BART TRANS BARTLOMIEJ MAGIERA","ZOLNIERSKA 7 ,LOK 1",OLSZTYN,10-556,PL,519486297,,7391226521,7391226521,EUR,EUR,45,,664903730,,,,PL
"STANISLAWA ZACHAREK","BRZEZNICA 551",BRZEZNICA,39-207,PL,690719461,,8721976273,8721976273,EUR,EUR,45,,510206570,146704003,,,PL
"TFE TOURS,CHEZ STEF -TFE SERVICES",BP80520,"VANNES CEDEX",56017,FR,,,13448995993,13448995993,EUR,EUR,30,33247294785,,33247294014,,,FR
